Season,Unnamed: 0,Date,home,visitor,FT,hgoal,vgoal,hconf,vconf,totgoal,round,leg,hgoalaet,vgoalaet,hpen,vpen,hwins
1996,0,1996-04-06,San Jose Earthquakes,DC United,1-0,1,0,West,East,1,regular,,,,,,h
1996,1,1996-04-13,LA Galaxy,New York Red Bulls,2-1,2,1,West,East,3,regular,,,,,,h
1996,2,1996-04-13,Tampa Bay Mutiny,New England Revolution,3-2,3,2,East,East,5,regular,,,,,,h
1996,3,1996-04-13,Columbus Crew,DC United,4-0,4,0,East,East,4,regular,,,,,,h
1996,4,1996-04-13,Sporting Kansas City,Colorado Rapids,3-0,3,0,West,West,3,regular,,,,,,h
1996,5,1996-04-14,FC Dallas,San Jose Earthquakes,1-0,1,0,West,West,1,regular,,,,,,h
1996,6,1996-04-18,FC Dallas,Sporting Kansas City,3-0,3,0,West,West,3,regular,,,,,,h
1996,7,1996-04-20,DC United,LA Galaxy,1-2,1,2,East,West,3,regular,,,,,,a
1996,8,1996-04-20,Columbus Crew,Tampa Bay Mutiny,1-2,1,2,East,East,3,regular,,,,,,a
1996,9,1996-04-20,New York Red Bulls,New England Revolution,0-1,0,1,East,East,1,regular,,,,,,a
1996,10,1996-04-21,Colorado Rapids,FC Dallas,3-1,3,1,West,West,4,regular,,,,,,h
1996,11,1996-04-21,San Jose Earthquakes,Sporting Kansas City,2-3,2,3,West,West,5,regular,,,,,,a
1996,12,1996-04-27,New York Red Bulls,Columbus Crew,0-2,0,2,East,East,2,regular,,,,,,a
1996,13,1996-04-27,New England Revolution,DC United,2-1,2,1,East,East,3,regular,,,,,,h
1996,14,1996-04-28,Tampa Bay Mutiny,FC Dallas,1-2,1,2,East,West,3,regular,,,,,,a
1996,15,1996-04-28,LA Galaxy,San Jose Earthquakes,2-1,2,1,West,West,3,regular,,,,,,h
1996,16,1996-05-01,DC United,FC Dallas,3-1,3,1,East,West,4,regular,,,,,,h
1996,17,1996-05-02,Sporting Kansas City,Columbus Crew,6-4,6,4,West,East,10,regular,,,,,,h
1996,18,1996-05-04,New York Red Bulls,Tampa Bay Mutiny,4-3,4,3,East,East,7,regular,,,,,,h
1996,19,1996-05-04,New England Revolution,San Jose Earthquakes,1-2,1,2,East,West,3,regular,,,,,,a
1996,20,1996-05-05,FC Dallas,Columbus Crew,1-0,1,0,West,East,1,regular,,,,,,h
1996,21,1996-05-05,Colorado Rapids,Sporting Kansas City,4-0,4,0,West,West,4,regular,,,,,,h
1996,22,1996-05-05,LA Galaxy,DC United,3-1,3,1,West,East,4,regular,,,,,,h
1996,23,1996-05-08,San Jose Earthquakes,Colorado Rapids,3-1,3,1,West,West,4,regular,,,,,,h
1996,24,1996-05-08,Tampa Bay Mutiny,Sporting Kansas City,2-0,2,0,East,West,2,regular,,,,,,h
1996,25,1996-05-11,Colorado Rapids,Tampa Bay Mutiny,1-2,1,2,West,East,3,regular,,,,,,a
1996,26,1996-05-11,Columbus Crew,New England Revolution,3-2,3,2,East,East,5,regular,,,,,,h
